ISIN,2026/1/5,2026/1/6,2026/1/7,2026/1/8,2026/1/9,2026/1/12,2026/1/13,2026/1/14,2026/1/15,2026/1/16,2026/1/19,Coupon,IssueDate,MaturityDate,TKData
CA135087WL43,109.47,109.58,109.61,109.58,109.54,109.54,109.48,109.51,109.59,109.59,109.49,5.75%,1998/2/2,2029/6/1,"18,473,591,330,184"
CA135087VW17,107.3,107.35,107.32,107.35,107.32,107.3,107.27,107.26,107.27,107.26,107.2,8.00%,1996/5/1,2027/6/1,"14,905,011,330,184"
CA135087T958,99.21,99.25,99.26,99.29,99.27,99.31,99.27,99.31,99.35,99.36,99.342,2.25%,2025/11/14,2028/2/1,"1,151027258,16,184"
CA135087T792,98.813,98.75,98.76,98.86,98.913,98.87,98.833,98.85,98.98,98.968,98.948,2.75%,2025/10/2,2031/3/1,"11,497,593,441,330,100"
CA135087T610,99.87,99.87,99.85,99.89,99.9,99.9,99.875,99.89,99.93,99.935,99.93,2.50%,2025/8/15,2027/11/1,"11,482,608,361,330,100"
CA135087T537,98.605,98.45,98.58,98.78,98.92,98.79,98.74,98.715,99,99.015,98.88,3.25%,2025/7/3,2035/12/1,"11,468,228,671,330,100"
CA135087T461,99.94,99.95,99.93,99.96,99.97,99.97,99.945,99.96,100,100.01,99.99,2.50%,2025/5/15,2027/8/1,"11,454,620,381,330,100"
CA135087T388,99.165,99.12,99.12,99.21,99.255,99.233,99.2,99.21,99.37,99.37,99.28,2.75%,2025/4/10,2030/9/1,"11,443,896,231,330,100"
CA135087S968,99.47,99.43,99.405,99.54,99.595,99.57,99.51,99.525,99.71,99.7,99.64,3.00%,2025/2/26,2032/3/1,"11,425,671,971,330,100"
CA135087S885,100.325,100.35,100.325,100.36,100.35,100.368,100.35,100.35,100.38,100.38,100.378,2.75%,2025/2/20,2027/5/1,"11,427,000,481,330,100"
CA135087S620,98.835,98.89,99.06,99.08,99.13,99.13,99.06,99.13,99.39,99.46,99.27,3.25%,2025/1/10,2035/6/1,"11,416,087,801,330,100"
CA135087S547,100.545,100.56,100.555,100.565,100.565,100.57,100.525,100.56,100.585,100.585,100.575,3.00%,2024/11/1,2027/2/1,"11,395,915,641,330,100"
CA135087S471,99.493,99.45,99.413,99.525,99.51,99.54,99.503,99.515,99.64,99.613,99.583,2.75%,2024/10/3,2030/3/1,"11,389,131,051,330,100"
CA135087S398,100.69,100.7,100.69,100.69,100.69,100.69,100.675,100.68,100.7,100.7,100.68,3.25%,2024/8/2,2026/11/1,"11,378,938,571,330,100"
CA135087S216,99.228,99.23,99.4,99.41,99.504,99.51,99.4,99.46,99.72,99.78,99.59,3.25%,2024/7/12,2034/12/1,"11,368,887,751,330,100"
CA135087R978,100.88,100.88,100.88,100.88,100.87,100.86,100.86,100.85,100.86,100.85,100.84,4.00%,2024/5/6,2026/8/3,"11,354,021,451,330,100"
CA135087R895,102.22,102.33,102.37,102.34,102.31,102.35,102.29,102.33,102.43,102.42,102.32,3.50%,2024/4/8,2029/9/1,"11,343,879,591,330,100"
CA135087R713,101.49,101.52,101.43,101.66,101.62,101.72,101.64,101.7,101.91,101.94,101.74,3.50%,2024/3/1,2034/3/1,"11,333,567,061,330,100"
CA135087R556,100.49,100.49,100.49,100.49,100.49,100.47,100.47,100.45,100.47,100.46,100.44,4.00%,2024/2/12,2026/5/1,"11,329,699,941,330,100"
CA135087R481,97.75,97.74,97.9,97.92,98.025,98,97.9,97.96,98.2,98.23,98.08,3.00%,2023/12/27,2034/6/1,"11,318,438,861,330,100"
CA135087R226,100.14,100.13,100.13,100.12,100.11,100.1,100.09,100.08,100.08,100.07,100.05,4.50%,2023/11/1,2026/2/1,"11,306,545,011,330,100"
CA135087Q988,103.63,103.7,103.71,103.74,103.73,103.76,103.72,103.76,103.79,103.78,103.74,4.00%,2023/10/13,2029/3/1,"11,303,287,411,330,100"
CA135087Q723,99.64,99.71,99.86,99.87,99.895,99.95,99.85,99.92,100.13,100.15,100.01,3.25%,2023/6/26,2033/12/1,"11,280,074,481,330,100"
CA135087Q491,101.34,101.41,101.37,101.43,101.42,101.45,101.42,101.43,101.48,101.47,101.45,3.25%,2023/4/21,2028/9/1,"11,265,286,991,330,100"
CA135087P816,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.14,3.00%,2023/1/20,2026/4/1,"11,245,780,911,330,100"
CA135087P733,101.17,101.2,101.2,101.21,101.2,101.21,101.19,101.21,101.24,101.23,101.21,3.25%,2022/12/2,2027/8/24,"11,236,537,821,330,100"
CA135087P576,101.73,101.78,101.78,101.8,101.79,101.81,101.78,101.81,101.84,101.83,101.8,3.50%,2022/10/21,2028/3/1,"11,226,513,361,330,100"
CA135087P329,95.528,95.75,95.86,95.91,95.87,95.95,95.89,95.83,96.395,96.09,95.99,2.50%,2022/8/8,2032/12/1,"11,209,149,991,330,100"
CA135087N837,100.22,100.3,100.28,100.31,100.3,100.32,100.3,100.31,100.35,100.37,100.33,2.75%,2022/5/13,2027/9/1,"11,190,368,431,330,100"
CA135087N670,97.68,97.73,97.77,97.75,97.75,97.78,97.72,97.79,97.85,97.86,97.8,2.25%,2022/3/29,2029/12/1,"11,178,554,941,330,100"
CA135087N597,93.24,93.42,93.49,93.52,93.49,93.58,93.51,93.6,93.74,93.75,93.63,2.00%,2022/3/16,2032/6/1,"11,176,069,591,330,100"
CA135087N266,91.31,91.48,91.55,91.57,91.54,91.62,91.52,91.57,91.78,91.78,91.67,1.50%,2021/10/25,2031/12/1,"11,144,669,421,330,100"
CA135087M847,98.6,98.63,98.66,98.67,98.67,98.67,98.68,98.67,98.73,98.72,98.73,1.25%,2021/10/15,2027/3/1,"11,143,294,631,330,100"
CA135087M276,92.27,92.42,92.45,92.46,92.44,92.51,92.47,92.47,92.66,92.92,92.54,1.50%,2021/4/26,2031/6/1,"11,112,937,041,330,100"
CA135087L930,99.145,99.145,99.15,99.16,99.19,99.18,99.17,99.2,99.21,99.22,99.215,1.00%,2021/4/16,2026/9/1,"11,111,410,141,330,100"
CA135087L518,99.7,99.71,99.7,99.72,99.73,99.73,99.74,99.75,99.76,99.77,99.78,0.25%,2020/10/9,2026/3/1,"1,576,014,761,330,180"
CA135087L443,88.64,88.77,88.83,88.82,88.83,88.9,88.86,88.94,89.05,89.06,88.96,0.50%,2020/10/5,2030/12/1,"1,575,016,841,330,180"
CA135087J397,98.27,98.38,98.42,98.39,98.37,98.39,98.34,98.4,98.46,98.47,98.4,2.25%,2018/7/27,2029/6/1,"1,429,657,441,330,180"
CA135087H235,98.55,98.53,98.49,98.54,98.6,98.65,98.61,98.71,98.66,98.67,98.66,2.00%,2017/8/1,2028/6/1,"1,377,202,301,330,180"
CA135087F825,98,98,98,97.96,97.96,97.98,97.97,97.99,98.02,98.03,98.02,1.00%,2016/8/3,2027/6/1,"1,334,614,411,330,180"
CA135087E679,99.68,99.69,99.69,99.7,99.7,99.71,99.71,99.71,99.72,99.73,99.73,1.50%,2015/7/21,2026/6/1,"1,289,759,061,330,180"
